title,item_no,Country of Origin,barcode,Description,image,price,pack_price,url
BENY RINDO RELLENOS 13 CT,Item No.: 014652,Country of Origin: MEXICO,732748014659,"CS/PK Size: 12/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/014652.jpg,$0.89,$10.68,https://www.jcsalesweb.com/(F(Q3F9aFnvsqHIENBzLLAhbad3I32l6Xg17HR8UWs64qF-ruvQEeg6eLqR8AcbYDfaPXqIcOrpiRIhhRnfqoeQPb6RnvxfHzeQtzAQj7x9g2efemjls7ZKZ-kX8GnkvlXDsv7B0iGK52dkTV5ViyvRuuxFdM_wjxTXaHEyAtk53IA1))/Catalog/Product/3038/0/582214-BENY-RINDO-RELLENOS-13-CT
BENY PALETA MANGO 18 CT,Item No.: 108831,Country of Origin: MEXICO,732748017254,"CS/PK Size: 12/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/108831.jpg,$0.89,$10.68,https://www.jcsalesweb.com/(F(Q3F9aFnvsqHIENBzLLAhbad3I32l6Xg17HR8UWs64qF-ruvQEeg6eLqR8AcbYDfaPXqIcOrpiRIhhRnfqoeQPb6RnvxfHzeQtzAQj7x9g2efemjls7ZKZ-kX8GnkvlXDsv7B0iGK52dkTV5ViyvRuuxFdM_wjxTXaHEyAtk53IA1))/Catalog/Product/3038/0/582215-BENY-PALETA-MANGO-18-CT
MANZELA LIME JAPANESE STYLE PEANUT 5.64 OZ(160GR),Item No.: 108833,Country of Origin: MEXICO,108833,"CS/PK Size: 100/10, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/108833.jpg,$0.78,$7.80,https://www.jcsalesweb.com/(F(Q3F9aFnvsqHIENBzLLAhbad3I32l6Xg17HR8UWs64qF-ruvQEeg6eLqR8AcbYDfaPXqIcOrpiRIhhRnfqoeQPb6RnvxfHzeQtzAQj7x9g2efemjls7ZKZ-kX8GnkvlXDsv7B0iGK52dkTV5ViyvRuuxFdM_wjxTXaHEyAtk53IA1))/Catalog/Product/2997/0/582232-MANZELA-LIME-JAPANESE-STYLE-PEANUT-5_64-OZ160GR
BENY LOCOCHAS SOUR 14 CT,Item No.: 108838,Country of Origin: MEXICO,732748018091,"CS/PK Size: 12/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/108838.jpg,$0.89,$10.68,https://www.jcsalesweb.com/(F(Q3F9aFnvsqHIENBzLLAhbad3I32l6Xg17HR8UWs64qF-ruvQEeg6eLqR8AcbYDfaPXqIcOrpiRIhhRnfqoeQPb6RnvxfHzeQtzAQj7x9g2efemjls7ZKZ-kX8GnkvlXDsv7B0iGK52dkTV5ViyvRuuxFdM_wjxTXaHEyAtk53IA1))/Catalog/Product/3038/0/582244-BENY-LOCOCHAS-SOUR-14-CT
BENY PALETA SANDIA 10 CT,Item No.: 108847,Country of Origin: MEXICO,732748017230,"CS/PK Size: 12/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/108847.jpg,$0.89,$10.68,https://www.jcsalesweb.com/(F(Q3F9aFnvsqHIENBzLLAhbad3I32l6Xg17HR8UWs64qF-ruvQEeg6eLqR8AcbYDfaPXqIcOrpiRIhhRnfqoeQPb6RnvxfHzeQtzAQj7x9g2efemjls7ZKZ-kX8GnkvlXDsv7B0iGK52dkTV5ViyvRuuxFdM_wjxTXaHEyAtk53IA1))/Catalog/Product/3038/0/582290-BENY-PALETA-SANDIA-10-CT
BENY PALETA ELOTITOS 10 CT,Item No.: 108879,Country of Origin: MEXICO,732748017766,"CS/PK Size: 12/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/108879.jpg,$0.89,$10.68,https://www.jcsalesweb.com/(F(Q3F9aFnvsqHIENBzLLAhbad3I32l6Xg17HR8UWs64qF-ruvQEeg6eLqR8AcbYDfaPXqIcOrpiRIhhRnfqoeQPb6RnvxfHzeQtzAQj7x9g2efemjls7ZKZ-kX8GnkvlXDsv7B0iGK52dkTV5ViyvRuuxFdM_wjxTXaHEyAtk53IA1))/Catalog/Product/3038/0/582398-BENY-PALETA-ELOTITOS-10-CT
TAMA-ROCA PELLIZCO PEG BAG 8 CT,Item No.: 108881,Country of Origin: MEXICO,7501607500182,"CS/PK Size: 24/24, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/108881.jpg,$1.11,$26.64,https://www.jcsalesweb.com/(F(Q3F9aFnvsqHIENBzLLAhbad3I32l6Xg17HR8UWs64qF-ruvQEeg6eLqR8AcbYDfaPXqIcOrpiRIhhRnfqoeQPb6RnvxfHzeQtzAQj7x9g2efemjls7ZKZ-kX8GnkvlXDsv7B0iGK52dkTV5ViyvRuuxFdM_wjxTXaHEyAtk53IA1))/Catalog/Product/3038/0/582402-TAMA-ROCA-PELLIZCO-PEG-BAG-8-CT
TAMA-ROCA PALEBOLA PEG BAG 3 CT,Item No.: 108882,Country of Origin: MEXICO,7501607500342,"CS/PK Size: 24/24, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/108882.jpg,$1.23,$29.52,https://www.jcsalesweb.com/(F(Q3F9aFnvsqHIENBzLLAhbad3I32l6Xg17HR8UWs64qF-ruvQEeg6eLqR8AcbYDfaPXqIcOrpiRIhhRnfqoeQPb6RnvxfHzeQtzAQj7x9g2efemjls7ZKZ-kX8GnkvlXDsv7B0iGK52dkTV5ViyvRuuxFdM_wjxTXaHEyAtk53IA1))/Catalog/Product/3038/0/582403-TAMA-ROCA-PALEBOLA-PEG-BAG-3-CT
KINDER DELICE BAR 39 GR,Item No.: 108928,Country of Origin: GERMANY,8000500267103,"CS/PK Size: 140/10, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/108928.jpg,$0.67,$6.70,https://www.jcsalesweb.com/(F(Q3F9aFnvsqHIENBzLLAhbad3I32l6Xg17HR8UWs64qF-ruvQEeg6eLqR8AcbYDfaPXqIcOrpiRIhhRnfqoeQPb6RnvxfHzeQtzAQj7x9g2efemjls7ZKZ-kX8GnkvlXDsv7B0iGK52dkTV5ViyvRuuxFdM_wjxTXaHEyAtk53IA1))/Catalog/Product/3038/0/582586-KINDER-DELICE-BAR-39-GR
CANDLE GLASS JAR NAPA VALLEY WINE SCENT 3 OZ,Item No.: 107867,Country of Origin: USA,601486451265,"CS/PK Size: 12/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/107867.jpg,$0.70,$8.40,https://www.jcsalesweb.com/(F(Q3F9aFnvsqHIENBzLLAhbad3I32l6Xg17HR8UWs64qF-ruvQEeg6eLqR8AcbYDfaPXqIcOrpiRIhhRnfqoeQPb6RnvxfHzeQtzAQj7x9g2efemjls7ZKZ-kX8GnkvlXDsv7B0iGK52dkTV5ViyvRuuxFdM_wjxTXaHEyAtk53IA1))/Catalog/Product/3004/0/577774-CANDLE-GLASS-JAR-NAPA-VALLEY-WINE-SCENT-3-OZ
